"","State","Facility Name","Facility ID (ORISPL)","Unit ID","Associated Stacks","Month","Year","Program(s)","Operating Time","Gross Load (MW-h)","Steam Load (1000lb)","SO2 (tons)","Avg. NOx Rate (lb/MMBtu)","NOx (tons)","CO2 (short tons)","Heat Input (MMBtu)","EPA Region","NERC Region","County"
"1","AL","Barry",3,"1","CS0AAN",1,1999,"ARP",744,87811,NA,513.442,0.5079,195.278,80477.296,784346.044,4,"SERC","Mobile County"
"2","AL","Barry",3,"1","CS0AAN",2,1999,"ARP",636.25,84071,NA,416.944,0.5492,191.913,72793.387,709454.314,4,"SERC","Mobile County"
"3","AL","Barry",3,"1","CS0AAN",3,1999,"ARP",743.5,106273,NA,585.939,0.5735,298.356,107049.534,1043332.984,4,"SERC","Mobile County"
"4","AL","Barry",3,"1","CS0AAN",4,1999,"ARP",720,101262,NA,563.482,0.6295,282.406,92060.202,897216.743,4,"SERC","Mobile County"
"5","AL","Barry",3,"1","CS0AAN",5,1999,"ARP",744,97884,NA,520.593,0.616,266.326,89231.738,869649.2,4,"SERC","Mobile County"
"6","AL","Barry",3,"1","CS0AAN",6,1999,"ARP",720,86591,NA,485.649,0.5603,234.877,86123.561,839371.208,4,"SERC","Mobile County"
"7","AL","Barry",3,"1","CS0AAN",7,1999,"ARP",712,95309,NA,566.055,0.5289,248.955,96865.938,944077.98,4,"SERC","Mobile County"
"8","AL","Barry",3,"1","CS0AAN",8,1999,"ARP",744,102603,NA,618.099,0.5276,265.022,103410.661,1007858.358,4,"SERC","Mobile County"
"9","AL","Barry",3,"1","CS0AAN",9,1999,"ARP",720,98090,NA,537.952,0.5149,246.324,98314.252,958183.514,4,"SERC","Mobile County"
"10","AL","Barry",3,"1","CS0AAN",10,1999,"ARP",527,64626,NA,346.84,0.5923,180.483,62340.066,607569.419,4,"SERC","Mobile County"
"11","AL","Barry",3,"1","CS0AAN",11,1999,"ARP",720,101197,NA,525.786,0.5695,262.674,95197.729,927814.072,4,"SERC","Mobile County"
"12","AL","Barry",3,"1","CS0AAN",12,1999,"ARP",626.75,83195,NA,424.658,0.6274,231.192,75891.93,739653.81,4,"SERC","Mobile County"
"13","AL","Barry",3,"2","CS0AAN",1,1999,"ARP",359.25,48263,NA,290.56,0.5018,109.398,45373.599,442218.566,4,"SERC","Mobile County"
"14","AL","Barry",3,"2","CS0AAN",2,1999,"ARP",556,72746,NA,376.399,0.5399,172.165,65718.283,640500.7,4,"SERC","Mobile County"
"15","AL","Barry",3,"2","CS0AAN",3,1999,"ARP",744,106453,NA,587.214,0.5735,298.96,107321.95,1045987.907,4,"SERC","Mobile County"
"16","AL","Barry",3,"2","CS0AAN",4,1999,"ARP",672,93175,NA,530.411,0.6291,265.442,86526.782,843294.349,4,"SERC","Mobile County"
"17","AL","Barry",3,"2","CS0AAN",5,1999,"ARP",711,90906,NA,498.554,0.6151,256.469,85224.062,830594.6,4,"SERC","Mobile County"
"18","AL","Barry",3,"2","CS0AAN",6,1999,"ARP",720,97468,NA,546.648,0.5603,264.548,97176.541,947095.317,4,"SERC","Mobile County"
"19","AL","Barry",3,"2","CS0AAN",7,1999,"ARP",744,104061,NA,625.485,0.5285,274.512,106969.868,1042553.769,4,"SERC","Mobile County"
"20","AL","Barry",3,"2","CS0AAN",8,1999,"ARP",744,105606,NA,636.173,0.5276,272.768,106447.418,1037455.037,4,"SERC","Mobile County"
"21","AL","Barry",3,"2","CS0AAN",9,1999,"ARP",695.5,96784,NA,530.503,0.5175,244.881,97188.213,947209.213,4,"SERC","Mobile County"
"22","AL","Barry",3,"2","CS0AAN",10,1999,"ARP",686,97500,NA,546.57,0.5794,282.402,99249.021,967291.76,4,"SERC","Mobile County"
"23","AL","Barry",3,"2","CS0AAN",11,1999,"ARP",701,99911,NA,528.059,0.5668,262.703,95448.636,930261.18,4,"SERC","Mobile County"
"24","AL","Barry",3,"2","CS0AAN",12,1999,"ARP",719.25,102084,NA,554.919,0.6376,309.402,99163.534,966468.665,4,"SERC","Mobile County"
"25","AL","Barry",3,"3","CS0AAN",1,1999,"ARP",744,175847,NA,1028.91,0.5079,392.856,161552.506,1574517.99,4,"SERC","Mobile County"
"26","AL","Barry",3,"3","CS0AAN",2,1999,"ARP",614.5,143806,NA,762.948,0.5393,347.018,132610.127,1292441.686,4,"SERC","Mobile County"
"27","AL","Barry",3,"3","CS0AAN",3,1999,"ARP",624.75,160224,NA,888.03,0.5546,441.202,163711.92,1595584.408,4,"SERC","Mobile County"
"28","AL","Barry",3,"3","CS0AAN",4,1999,"ARP",3.5,3,NA,0.021,0.6123,0.01,3.316,32.308,4,"SERC","Mobile County"
"29","AL","Barry",3,"3","CS0AAN",5,1999,"ARP",0,NA,NA,NA,NA,NA,NA,NA,4,"SERC","Mobile County"
