"","State","Facility Name","Facility ID (ORISPL)","Unit ID","Associated Stacks","Month","Year","Program(s)","Operating Time","Gross Load (MW-h)","Steam Load (1000lb)","SO2 (tons)","Avg. NOx Rate (lb/MMBtu)","NOx (tons)","CO2 (short tons)","Heat Input (MMBtu)","EPA Region","NERC Region","County"
"1","AL","Barry",3,"1","CS0AAN",1,1998,"ARP",672.25,85017,NA,464.95,0.5661,226.927,83509.761,813901.245,4,"SERC","Mobile County"
"2","AL","Barry",3,"1","CS0AAN",2,1998,"ARP",626.75,81232,NA,449.568,0.5477,198.334,75196.162,732875.339,4,"SERC","Mobile County"
"3","AL","Barry",3,"1","CS0AAN",3,1998,"ARP",714.75,94418,NA,569.486,0.538,229.405,89170.448,869068.359,4,"SERC","Mobile County"
"4","AL","Barry",3,"1","CS0AAN",4,1998,"ARP",700.5,97664,NA,597.051,0.465,221.119,97756.67,952754.276,4,"SERC","Mobile County"
"5","AL","Barry",3,"1","CS0AAN",5,1998,"ARP",171.5,20335,NA,122.567,0.478,46.942,20031.016,195226.088,4,"SERC","Mobile County"
"6","AL","Barry",3,"1","CS0AAN",6,1998,"ARP",694,88697,NA,542.174,0.456,190.266,86407.954,842147.409,4,"SERC","Mobile County"
"7","AL","Barry",3,"1","CS0AAN",7,1998,"ARP",744,105639,NA,565.492,0.4744,229.042,99706.073,971751.862,4,"SERC","Mobile County"
"8","AL","Barry",3,"1","CS0AAN",8,1998,"ARP",711,99237,NA,586.88,0.4742,213.363,92841.641,904854.215,4,"SERC","Mobile County"
"9","AL","Barry",3,"1","CS0AAN",9,1998,"ARP",720,100445,NA,577.684,0.4862,213.948,90884.988,885781.584,4,"SERC","Mobile County"
"10","AL","Barry",3,"1","CS0AAN",10,1998,"ARP",719.75,99823,NA,583.123,0.4844,208.943,88995.423,867362.544,4,"SERC","Mobile County"
"11","AL","Barry",3,"1","CS0AAN",11,1998,"ARP",701,95621,NA,518.198,0.5354,215.33,82677.771,805789.527,4,"SERC","Mobile County"
"12","AL","Barry",3,"1","CS0AAN",12,1998,"ARP",695.5,93654,NA,567.42,0.483,200.151,85325.796,831605.088,4,"SERC","Mobile County"
"13","AL","Barry",3,"2","CS0AAN",1,1998,"ARP",744,97050,NA,546.531,0.5683,270.64,98810.373,963022.563,4,"SERC","Mobile County"
"14","AL","Barry",3,"2","CS0AAN",2,1998,"ARP",616.5,79765,NA,456.878,0.5447,197.577,75684.675,737635.001,4,"SERC","Mobile County"
"15","AL","Barry",3,"2","CS0AAN",3,1998,"ARP",695,89626,NA,565.608,0.5433,231.664,88187.106,859486.215,4,"SERC","Mobile County"
"16","AL","Barry",3,"2","CS0AAN",4,1998,"ARP",609.75,72910,NA,462.62,0.4642,169.662,75260.745,733504.308,4,"SERC","Mobile County"
"17","AL","Barry",3,"2","CS0AAN",5,1998,"ARP",625.75,83904,NA,611.469,0.4512,199.813,90671.691,883710.016,4,"SERC","Mobile County"
"18","AL","Barry",3,"2","CS0AAN",6,1998,"ARP",720,99491,NA,613.376,0.4585,218.394,98149.478,956583.883,4,"SERC","Mobile County"
"19","AL","Barry",3,"2","CS0AAN",7,1998,"ARP",744,105652,NA,566.162,0.4744,228.927,99775.681,972430.257,4,"SERC","Mobile County"
"20","AL","Barry",3,"2","CS0AAN",8,1998,"ARP",698.5,95141,NA,563.022,0.4795,211.288,90127.357,878401.079,4,"SERC","Mobile County"
"21","AL","Barry",3,"2","CS0AAN",9,1998,"ARP",720,99443,NA,571.32,0.4862,212.347,90027.771,877427.132,4,"SERC","Mobile County"
"22","AL","Barry",3,"2","CS0AAN",10,1998,"ARP",744,103239,NA,604.536,0.4849,217.178,92453.69,901068.263,4,"SERC","Mobile County"
"23","AL","Barry",3,"2","CS0AAN",11,1998,"ARP",654,86708,NA,480.781,0.5334,199.812,76757.203,748086.62,4,"SERC","Mobile County"
"24","AL","Barry",3,"2","CS0AAN",12,1998,"ARP",744,103820,NA,639.99,0.485,228.07,96824.362,943671.704,4,"SERC","Mobile County"
"25","AL","Barry",3,"3","CS0AAN",1,1998,"ARP",697.5,149590,NA,840.911,0.5642,406.699,151408.456,1475655.592,4,"SERC","Mobile County"
"26","AL","Barry",3,"3","CS0AAN",2,1998,"ARP",629.75,134689,NA,777.72,0.5365,324.835,128242.75,1249879.562,4,"SERC","Mobile County"
"27","AL","Barry",3,"3","CS0AAN",3,1998,"ARP",438.75,77287,NA,480.635,0.4926,181.244,77132.352,751744.425,4,"SERC","Mobile County"
"28","AL","Barry",3,"3","CS0AAN",4,1998,"ARP",720,144114,NA,895.406,0.4655,329.244,146244.862,1425328.515,4,"SERC","Mobile County"
"29","AL","Barry",3,"3","CS0AAN",5,1998,"ARP",701,168819,NA,1262.584,0.4397,393.017,186482.592,1817510.395,4,"SERC","Mobile County"
"30","AL","Barry",3,"3","CS0AAN",6,1998,"ARP",679.75,165735,NA,1036.546,0.4516,360.84,164926.765,1607407.608,4,"SERC","Mobile County"
"31","AL","Barry",3,"3","CS0AAN",7,1998,"ARP",680,164850,NA,909.333,0.4622,354.856,159146.36,1551074.281,4,"SERC","Mobile County"
"32","AL","Barry",3,"3","CS0AAN",8,1998,"ARP",719.5,180644,NA,1081.989,0.4743,397.402,172462.587,1680858.205,4,"SERC","Mobile County"
"33","AL","Barry",3,"3","CS0AAN",9,1998,"ARP",669.75,162968,NA,954.267,0.4755,342.19,149468.839,1456753.486,4,"SERC","Mobile County"
"34","AL","Barry",3,"3","CS0AAN",10,1998,"ARP",744,180961,NA,1058.491,0.4849,379.273,161999.79,1578875.193,4,"SERC","Mobile County"
"35","AL","Barry",3,"3","CS0AAN",11,1998,"ARP",558.75,132001,NA,744.925,0.5187,299.458,119238.533,1162119.652,4,"SERC","Mobile County"
"36","AL","Barry",3,"3","CS0AAN",12,1998,"ARP",724,172117,NA,1051.851,0.4827,367.544,158210.541,1541956.708,4,"SERC","Mobile County"
"37","AL","Barry",3,"4","MS4A, MS4B",1,1998,"ARP",103.5,32838,NA,188.194,0.7403,120.356,33829.8,329715.8,4,"SERC","Mobile County"
"38","AL","Barry",3,"4","MS4A, MS4B",2,1998,"ARP",0,NA,NA,NA,NA,NA,NA,NA,4,"SERC","Mobile County"
"39","AL","Barry",3,"4","MS4A, MS4B",3,1998,"ARP",430.25,58383,NA,457.407,0.3781,167.84,66383.925,813689.875,4,"SERC","Mobile County"
"40","AL","Barry",3,"4","MS4A, MS4B",4,1998,"ARP",684.75,234218,NA,1409.265,0.374,443.147,244853.65,2386448.3,4,"SERC","Mobile County"
"41","AL","Barry",3,"4","MS4A, MS4B",5,1998,"ARP",741.5,258471,NA,1703.76,0.3107,423.387,281215.65,2740815.325,4,"SERC","Mobile County"
"42","AL","Barry",3,"4","MS4A, MS4B",6,1998,"ARP",705.5,197552,NA,1185.226,0.4263,461.708,221972.45,2163404.075,4,"SERC","Mobile County"
"43","AL","Barry",3,"4","MS4A, MS4B",7,1998,"ARP",742,275777,NA,1522.661,0.3772,537.398,292918.775,2854876.75,4,"SERC","Mobile County"
"44","AL","Barry",3,"4","MS4A, MS4B",8,1998,"ARP",665,236484,NA,1318.747,0.3993,503.23,256400.6,2498956.05,4,"SERC","Mobile County"
"45","AL","Barry",3,"4","MS4A, MS4B",9,1998,"ARP",687.75,252022,NA,1422.196,0.3484,464.637,271768.025,2648742.4,4,"SERC","Mobile County"
"46","AL","Barry",3,"4","MS4A, MS4B",10,1998,"ARP",742.25,257061,NA,1520.498,0.3712,490.207,277413.3,2703774.8,4,"SERC","Mobile County"
"47","AL","Barry",3,"4","MS4A, MS4B",11,1998,"ARP",719.75,264133,NA,1620.831,0.3522,505.137,296314.075,2887958.75,4,"SERC","Mobile County"
"48","AL","Barry",3,"4","MS4A, MS4B",12,1998,"ARP",724.5,265272,NA,1691.996,0.3534,518.558,301703.3,2940504.8,4,"SERC","Mobile County"
"49","AL","Barry",3,"5","MS5A, MS5B",1,1998,"ARP",602.75,351064,NA,1959.766,0.6725,1342.051,373168.35,3637037.95,4,"SERC","Mobile County"
"50","AL","Barry",3,"5","MS5A, MS5B",2,1998,"ARP",629.5,456331,NA,2665.385,0.7511,1744.135,471664.475,4597014.875,4,"SERC","Mobile County"
"51","AL","Barry",3,"5","MS5A, MS5B",3,1998,"ARP",466.75,307760,NA,1898.93,0.7397,1211.104,324397.725,3161695.475,4,"SERC","Mobile County"
