"County","State","nbp"
"Fayette County","TN",1
"Fayette County","TX",0
"Fayette County","WV",1
"Fentress County","TN",1
"Fergus County","MT",0
"Ferry County","WA",0
"Fillmore County","MN",0
"Fillmore County","NE",0
"Finney County","KS",0
"Fisher County","TX",0
"Flagler County","FL",0
"Flathead County","MT",0
"Fleming County","KY",1
"Florence County","SC",1
"Floyd County","IN",1
"Floyd County","KY",1
"Floyd County","TX",0
"Floyd County","VA",1
"Fluvanna County","VA",1
"Foard County","TX",0
"Ford County","IL",1
"Ford County","KS",0
"Forest County","PA",1
"Forsyth County","NC",1
"Fort Bend County","TX",0
"Foster County","ND",0
"Fountain County","IN",1
"Franklin County","FL",0
"Franklin County","ID",0
"Franklin County","IL",1
"Franklin County","IN",1
"Franklin County","KS",0
"Franklin County","KY",1
"Franklin County","MA",1
"Franklin County","NC",1
"Franklin County","NE",0
"Franklin County","NY",1
"Franklin County","OH",1
"Franklin County","PA",1
"Franklin County","TN",1
"Franklin County","TX",0
"Franklin County","VA",1
"Franklin County","WA",0
"Franklin Parish","LA",0
"Franklin city","VA",1
"Frederick County","MD",1
"Frederick County","VA",1
"Fredericksburg city","VA",1
"Freeborn County","MN",0
"Freestone County","TX",0
"Fremont County","ID",0
"Fremont County","WY",0
"Frio County","TX",0
"Frontier County","NE",0
"Fulton County","IL",1
"Fulton County","IN",1
"Fulton County","KY",1
"Fulton County","NY",1
"Fulton County","OH",1
"Fulton County","PA",1
"Furnas County","NE",0
"Gadsden County","FL",0
"Gage County","NE",0
"Gaines County","TX",0
"Galax city","VA",1
"Gallatin County","IL",1
"Gallatin County","KY",1
"Gallatin County","MT",0
"Gallia County","OH",1
"Galveston County","TX",0
"Garden County","NE",0
"Garfield County","MT",0
"Garfield County","NE",0
"Garfield County","OK",0
"Garfield County","UT",0
"Garfield County","WA",0
"Garrard County","KY",1
"Garrett County","MD",1
"Garvin County","OK",0
"Garza County","TX",0
"Gaston County","NC",1
"Gates County","NC",1
"Geary County","KS",0
"Geauga County","OH",1
"Gem County","ID",0
"Genesee County","MI",1
"Genesee County","NY",1
"Georgetown County","SC",1
"Gibson County","IN",1
"Gibson County","TN",1
"Gilchrist County","FL",0
"Giles County","TN",1
"Giles County","VA",1
"Gillespie County","TX",0
"Gilliam County","OR",0
"Gilmer County","WV",1
"Glacier County","MT",0
"Glades County","FL",0
"Gladwin County","MI",1
"Glasscock County","TX",0
"Gloucester County","NJ",1
"Gloucester County","VA",1
"Gogebic County","MI",1
"Golden Valley County","MT",0
"Golden Valley County","ND",0
"Goliad County","TX",0
"Gonzales County","TX",0
"Goochland County","VA",1
"Goodhue County","MN",0
"Gooding County","ID",0
"Goshen County","WY",0
"Gosper County","NE",0
"Gove County","KS",0
"Grady County","OK",0
"Graham County","KS",0
"Graham County","NC",1
"Grainger County","TN",1
"Grand County","UT",0
"Grand Forks County","ND",0
"Grand Traverse County","MI",1
"Granite County","MT",0
"Grant County","IN",1
"Grant County","KS",0
"Grant County","KY",1
"Grant County","MN",0
"Grant County","ND",0
"Grant County","NE",0
"Grant County","NM",0
"Grant County","OK",0
"Grant County","OR",0
"Grant County","SD",0
"Grant County","WA",0
"Grant County","WV",1
"Grant Parish","LA",0
"Granville County","NC",1
"Gratiot County","MI",1
"Graves County","KY",1
"Gray County","KS",0
"Gray County","TX",0
"Grays Harbor County","WA",0
"Grayson County","KY",1
"Grayson County","TX",0
"Grayson County","VA",1
"Greeley County","KS",0
"Greeley County","NE",0
"Green County","KY",1
"Greenbrier County","WV",1
"Greene County","IL",1
"Greene County","IN",1
"Greene County","NC",1
"Greene County","NY",1
"Greene County","OH",1
"Greene County","PA",1
"Greene County","TN",1
"Greene County","VA",1
"Greensville County","VA",1
"Greenup County","KY",1
"Greenville County","SC",1
"Greenwood County","KS",0
"Greenwood County","SC",1
"Greer County","OK",0
"Gregg County","TX",0
"Gregory County","SD",0
"Griggs County","ND",0
"Grimes County","TX",0
"Grundy County","IL",1
"Grundy County","TN",1
"Guadalupe County","NM",0
"Guadalupe County","TX",0
"Guernsey County","OH",1
"Guilford County","NC",1
"Gulf County","FL",0
"Haakon County","SD",0
"Hale County","TX",0
"Halifax County","NC",1
"Halifax County","VA",1
"Hall County","NE",0
"Hall County","TX",0
"Hamblen County","TN",1
"Hamilton County","FL",0
"Hamilton County","IL",1
"Hamilton County","IN",1
"Hamilton County","KS",0
"Hamilton County","NE",0
"Hamilton County","NY",1
"Hamilton County","OH",1
"Hamilton County","TN",1
"Hamilton County","TX",0
"Hamlin County","SD",0
"Hampden County","MA",1
"Hampshire County","MA",1
"Hampshire County","WV",1
"Hampton County","SC",1
"Hampton city","VA",1
"Hancock County","IL",1
"Hancock County","IN",1
"Hancock County","KY",1
"Hancock County","OH",1
"Hancock County","TN",1
"Hancock County","WV",1
"Hand County","SD",0
"Hanover County","VA",1
"Hansford County","TX",0
"Hanson County","SD",0
"Hardee County","FL",0
"Hardeman County","TN",1
"Hardeman County","TX",0
"Hardin County","IL",1
"Hardin County","KY",1
"Hardin County","OH",1
"Hardin County","TN",1
"Hardin County","TX",0
"Harding County","NM",0
"Harding County","SD",0
"Hardy County","WV",1
"Harford County","MD",1
"Harlan County","KY",1
"Harlan County","NE",0
"Harmon County","OK",0
"Harnett County","NC",1
"Harney County","OR",0
"Harper County","KS",0
"Harper County","OK",0
"Harris County","TX",0
"Harrison County","IN",1
"Harrison County","KY",1
"Harrison County","OH",1
"Harrison County","TX",0
"Harrison County","WV",1
"Harrisonburg city","VA",1
"Hart County","KY",1
"Hartley County","TX",0
"Harvey County","KS",0
"Haskell County","KS",0
"Haskell County","OK",0
"Haskell County","TX",0
"Hawkins County","TN",1
"Hayes County","NE",0
"Hays County","TX",0
"Haywood County","NC",1
"Haywood County","TN",1
"Hemphill County","TX",0
"Henderson County","IL",1
"Henderson County","KY",1
"Henderson County","NC",1
"Henderson County","TN",1
"Henderson County","TX",0
"Hendricks County","IN",1
"Hendry County","FL",0
"Hennepin County","MN",0
"Henrico County","VA",1
"Henry County","IL",1
"Henry County","IN",1
"Henry County","KY",1
"Henry County","OH",1
"Henry County","TN",1
"Henry County","VA",1
"Herkimer County","NY",1
"Hernando County","FL",0
"Hertford County","NC",1
"Hettinger County","ND",0
"Hickman County","KY",1
"Hickman County","TN",1
"Hidalgo County","NM",0
"Hidalgo County","TX",0
"Highland County","OH",1
"Highland County","VA",1
"Highlands County","FL",0
"Hill County","MT",0
"Hill County","TX",0
"Hillsborough County","FL",0
"Hillsdale County","MI",1
"Hitchcock County","NE",0
"Hocking County","OH",1
"Hockley County","TX",0
"Hodgeman County","KS",0
"Hoke County","NC",1
"Holmes County","FL",0
"Holmes County","OH",1
"Holt County","NE",0
"Hood County","TX",0
"Hood River County","OR",0
"Hooker County","NE",0
"Hopewell city","VA",1
"Hopkins County","KY",1
"Hopkins County","TX",0
"Horry County","SC",1
"Hot Springs County","WY",0
"Houghton County","MI",1
"Houston County","MN",0
"Houston County","TN",1
"Houston County","TX",0
"Howard County","IN",1
"Howard County","MD",1
"Howard County","NE",0
"Howard County","TX",0
"Hubbard County","MN",0
"Hudson County","NJ",1
"Hudspeth County","TX",0
"Hughes County","OK",0
"Hughes County","SD",0
"Humboldt County","NV",0
"Humphreys County","TN",1
"Hunt County","TX",0
"Hunterdon County","NJ",1
"Huntingdon County","PA",1
"Huntington County","IN",1
"Huron County","MI",1
"Huron County","OH",1
"Hutchinson County","SD",0
"Hutchinson County","TX",0
"Hyde County","NC",1
"Hyde County","SD",0
"Iberia Parish","LA",0
"Iberville Parish","LA",0
"Idaho County","ID",0
"Indian River County","FL",0
"Indiana County","PA",1
"Ingham County","MI",1
"Ionia County","MI",1
"Iosco County","MI",1
"Iredell County","NC",1
"Irion County","TX",0
"Iron County","MI",1
"Iron County","UT",0
"Iroquois County","IL",1
"Isabella County","MI",1
"Isanti County","MN",0
"Island County","WA",0
"Isle of Wight County","VA",1
"Itasca County","MN",0
"Jack County","TX",0
"Jackson County","FL",0
"Jackson County","IL",1
"Jackson County","IN",1
"Jackson County","KS",0
"Jackson County","KY",1
"Jackson County","MI",1
"Jackson County","MN",0
"Jackson County","NC",1
"Jackson County","OH",1
"Jackson County","OK",0
"Jackson County","OR",0
"Jackson County","SD",0
"Jackson County","TN",1
"Jackson County","TX",0
"Jackson County","WV",1
"Jackson Parish","LA",0
"James City County","VA",1
"Jasper County","IL",1
"Jasper County","IN",1
"Jasper County","SC",1
"Jasper County","TX",0
"Jay County","IN",1
"Jeff Davis County","TX",0
"Jefferson County","FL",0
"Jefferson County","ID",0
"Jefferson County","IL",1
"Jefferson County","IN",1
"Jefferson County","KS",0
"Jefferson County","KY",1
"Jefferson County","MT",0
"Jefferson County","NE",0
"Jefferson County","NY",1
"Jefferson County","OH",1
"Jefferson County","OK",0
"Jefferson County","OR",0
"Jefferson County","PA",1
"Jefferson County","TN",1
"Jefferson County","TX",0
"Jefferson County","WA",0
"Jefferson County","WV",1
"Jefferson Davis Parish","LA",0
"Jefferson Parish","LA",0
"Jennings County","IN",1
"Jerauld County","SD",0
"Jerome County","ID",0
"Jersey County","IL",1
"Jessamine County","KY",1
"Jewell County","KS",0
"Jim Hogg County","TX",0
"Jim Wells County","TX",0
"Jo Daviess County","IL",1
"Johnson County","IL",1
"Johnson County","IN",1
"Johnson County","KS",0
"Johnson County","KY",1
"Johnson County","NE",0
"Johnson County","TN",1
"Johnson County","TX",0
"Johnson County","WY",0
"Johnston County","NC",1
"Johnston County","OK",0
"Jones County","NC",1
"Jones County","SD",0
"Jones County","TX",0
"Josephine County","OR",0
"Juab County","UT",0
"Judith Basin County","MT",0
"Juniata County","PA",1
"Kalamazoo County","MI",1
"Kalkaska County","MI",1
"Kanabec County","MN",0
"Kanawha County","WV",1
"Kandiyohi County","MN",0
"Kane County","IL",1
"Kane County","UT",0
"Kankakee County","IL",1
"Karnes County","TX",0
"Kaufman County","TX",0
"Kay County","OK",0
"Kearney County","NE",0
"Kearny County","KS",0
"Keith County","NE",0
"Kendall County","IL",1
"Kendall County","TX",0
"Kenedy County","TX",0
"Kent County","DE",1
"Kent County","MD",1
"Kent County","MI",1
"Kent County","RI",1
"Kent County","TX",0
"Kenton County","KY",1
"Kerr County","TX",0
"Kershaw County","SC",1
"Keweenaw County","MI",1
"Keya Paha County","NE",0
"Kidder County","ND",0
"Kimball County","NE",0
"Kimble County","TX",0
"King County","TX",0
"King County","WA",0
"King George County","VA",1
"King William County","VA",1
"King and Queen County","VA",1
"Kingfisher County","OK",0
"Kingman County","KS",0
"Kings County","NY",1
"Kingsbury County","SD",0
"Kinney County","TX",0
"Kiowa County","KS",0
"Kiowa County","OK",0
"Kitsap County","WA",0
"Kittitas County","WA",0
"Kittson County","MN",0
"Klamath County","OR",0
"Kleberg County","TX",0
"Klickitat County","WA",0
"Knott County","KY",1
"Knox County","IL",1
"Knox County","IN",1
"Knox County","KY",1
"Knox County","NE",0
"Knox County","OH",1
"Knox County","TN",1
"Knox County","TX",0
"Koochiching County","MN",0
"Kootenai County","ID",0
"Kosciusko County","IN",1
"La Salle County","IL",1
"La Salle County","TX",0
"La Salle Parish","LA",0
"LaGrange County","IN",1
"LaMoure County","ND",0
"LaPorte County","IN",1
"Labette County","KS",0
"Lac qui Parle County","MN",0
"Lackawanna County","PA",1
"Lafayette County","FL",0
"Lafayette Parish","LA",0
"Lafourche Parish","LA",0
"Lake County","FL",0
"Lake County","IL",1
"Lake County","IN",1
"Lake County","MI",1
"Lake County","MN",0
"Lake County","MT",0
"Lake County","OH",1
"Lake County","OR",0
"Lake County","SD",0
"Lake County","TN",1
"Lake of the Woods County","MN",0
"Lamar County","TX",0
"Lamb County","TX",0
"Lampasas County","TX",0
"Lancaster County","NE",0
"Lancaster County","PA",1
"Lancaster County","SC",1
"Lancaster County","VA",1
"Lander County","NV",0
"Lane County","KS",0
"Lane County","OR",0
"Lapeer County","MI",1
"Laramie County","WY",0
"Larue County","KY",1
"Latah County","ID",0
"Latimer County","OK",0
"Lauderdale County","TN",1
"Laurel County","KY",1
"Laurens County","SC",1
"Lavaca County","TX",0
"Lawrence County","IL",1
"Lawrence County","IN",1
"Lawrence County","KY",1
"Lawrence County","OH",1
"Lawrence County","PA",1
"Lawrence County","SD",0
"Lawrence County","TN",1
"Le Flore County","OK",0
"Le Sueur County","MN",0
"Lea County","NM",0
"Leavenworth County","KS",0
"Lebanon County","PA",1
"Lee County","FL",0
"Lee County","IL",1
"Lee County","KY",1
"Lee County","NC",1
"Lee County","SC",1
"Lee County","TX",0
"Lee County","VA",1
"Leelanau County","MI",1
"Lehigh County","PA",1
"Lemhi County","ID",0
"Lenawee County","MI",1
"Lenoir County","NC",1
"Leon County","FL",0
"Leon County","TX",0
"Leslie County","KY",1
"Letcher County","KY",1
"Levy County","FL",0
"Lewis County","ID",0
"Lewis County","KY",1
"Lewis County","NY",1
"Lewis County","TN",1
"Lewis County","WA",0
"Lewis County","WV",1
"Lewis and Clark County","MT",0
"Lexington County","SC",1
"Lexington city","VA",1
"Liberty County","FL",0
"Liberty County","MT",0
"Liberty County","TX",0
"Licking County","OH",1
"Limestone County","TX",0
"Lincoln County","ID",0
"Lincoln County","KS",0
"Lincoln County","KY",1
"Lincoln County","MN",0
"Lincoln County","MT",0
"Lincoln County","NC",1
"Lincoln County","NE",0
"Lincoln County","NM",0
"Lincoln County","NV",0
"Lincoln County","OK",0
"Lincoln County","OR",0
"Lincoln County","SD",0
"Lincoln County","TN",1
"Lincoln County","WA",0
"Lincoln County","WV",1
"Lincoln County","WY",0
"Lincoln Parish","LA",0
"Linn County","KS",0
"Linn County","OR",0
"Lipscomb County","TX",0
"Live Oak County","TX",0
"Livingston County","IL",1
"Livingston County","KY",1
"Livingston County","MI",1
"Livingston County","NY",1
"Livingston Parish","LA",0
"Llano County","TX",0
"Logan County","IL",1
"Logan County","KS",0
"Logan County","KY",1
"Logan County","ND",0
"Logan County","NE",0
"Logan County","OH",1
"Logan County","OK",0
"Logan County","WV",1
"Lorain County","OH",1
"Los Alamos County","NM",0
"Loudon County","TN",1
"Loudoun County","VA",1
"Louisa County","VA",1
"Loup County","NE",0
"Love County","OK",0
"Loving County","TX",0
"Lubbock County","TX",0
"Lucas County","OH",1
"Luce County","MI",1
"Luna County","NM",0
"Lunenburg County","VA",1
"Luzerne County","PA",1
"Lycoming County","PA",1
"Lyman County","SD",0
"Lynchburg city","VA",1
"Lynn County","TX",0
"Lyon County","KS",0
"Lyon County","KY",1
"Lyon County","MN",0
"Lyon County","NV",0
"Mackinac County","MI",1
"Macomb County","MI",1
"Macon County","IL",1
"Macon County","NC",1
"Macon County","TN",1
"Macoupin County","IL",1
"Madison County","FL",0
"Madison County","ID",0
"Madison County","IL",1
"Madison County","IN",1
"Madison County","KY",1
"Madison County","MT",0
"Madison County","NC",1
"Madison County","NE",0
"Madison County","NY",1
"Madison County","OH",1
"Madison County","TN",1
"Madison County","TX",0
"Madison County","VA",1
"Madison Parish","LA",0
"Magoffin County","KY",1
"Mahnomen County","MN",0
"Mahoning County","OH",1
"Major County","OK",0
"Malheur County","OR",0
"Manassas Park city","VA",1
"Manassas city","VA",1
"Manatee County","FL",0
"Manistee County","MI",1
"Marion County","FL",0
"Marion County","IL",1
"Marion County","IN",1
"Marion County","KS",0
"Marion County","KY",1
"Marion County","OH",1
"Marion County","OR",0
"Marion County","SC",1
"Marion County","TN",1
"Marion County","TX",0
"Marion County","WV",1
"Marlboro County","SC",1
"Marquette County","MI",1
"Marshall County","IL",1
"Marshall County","IN",1
"Marshall County","KS",0
"Marshall County","KY",1
"Marshall County","MN",0
"Marshall County","OK",0
"Marshall County","SD",0
"Marshall County","TN",1
"Marshall County","WV",1
"Martin County","FL",0
"Martin County","IN",1
"Martin County","KY",1
"Martin County","MN",0
"Martin County","NC",1
"Martin County","TX",0
"Martinsville city","VA",1
"Mason County","IL",1
"Mason County","KY",1
"Mason County","MI",1
"Mason County","TX",0
"Mason County","WA",0
"Mason County","WV",1
"Massac County","IL",1
"Matagorda County","TX",0
"Mathews County","VA",1
"Maury County","TN",1
"Maverick County","TX",0
"Mayes County","OK",0
"McClain County","OK",0
"McCone County","MT",0
"McCook County","SD",0
"McCormick County","SC",1
"McCracken County","KY",1
"McCreary County","KY",1
"McCulloch County","TX",0
"McCurtain County","OK",0
"McDonough County","IL",1
"McDowell County","NC",1
"McDowell County","WV",1
"McHenry County","IL",1
"McHenry County","ND",0
"McIntosh County","ND",0
"McIntosh County","OK",0
"McKean County","PA",1
"McKenzie County","ND",0
"McKinley County","NM",0
"McLean County","IL",1
"McLean County","KY",1
"McLean County","ND",0
"McLennan County","TX",0
"McLeod County","MN",0
"McMinn County","TN",1
"McMullen County","TX",0
"McNairy County","TN",1
"McPherson County","KS",0
"McPherson County","NE",0
"McPherson County","SD",0
"Meade County","KS",0
"Meade County","KY",1
"Meade County","SD",0
"Meagher County","MT",0
"Mecklenburg County","NC",1
"Mecklenburg County","VA",1
"Mecosta County","MI",1
"Medina County","OH",1
"Medina County","TX",0
"Meeker County","MN",0
"Meigs County","OH",1
"Meigs County","TN",1
"Mellette County","SD",0
"Menard County","IL",1
"Menard County","TX",0
"Menifee County","KY",1
"Menominee County","MI",1
"Mercer County","IL",1
"Mercer County","KY",1
"Mercer County","ND",0
"Mercer County","NJ",1
"Mercer County","OH",1
"Mercer County","PA",1
"Mercer County","WV",1
"Merrick County","NE",0
"Metcalfe County","KY",1
"Miami County","IN",1
"Miami County","KS",0
"Miami County","OH",1
"Miami-Dade County","FL",0
"Middlesex County","MA",1
"Middlesex County","NJ",1
"Middlesex County","VA",1
"Midland County","MI",1
"Midland County","TX",0
"Mifflin County","PA",1
"Milam County","TX",0
"Millard County","UT",0
"Mille Lacs County","MN",0
"Mills County","TX",0
"Miner County","SD",0
"Mineral County","MT",0
"Mineral County","NV",0
"Mineral County","WV",1
"Mingo County","WV",1
"Minidoka County","ID",0
"Minnehaha County","SD",0
"Missaukee County","MI",1
"Missoula County","MT",0
"Mitchell County","KS",0
"Mitchell County","NC",1
"Mitchell County","TX",0
"Monmouth County","NJ",1
"Monongalia County","WV",1
"Monroe County","FL",0
"Monroe County","IL",1
"Monroe County","IN",1
"Monroe County","KY",1
"Monroe County","MI",1
"Monroe County","NY",1
"Monroe County","OH",1
"Monroe County","PA",1
"Monroe County","TN",1
"Monroe County","WV",1
"Montague County","TX",0
"Montcalm County","MI",1
"Montgomery County","IL",1
"Montgomery County","IN",1
"Montgomery County","KS",0
"Montgomery County","KY",1
"Montgomery County","MD",1
"Montgomery County","NC",1
"Montgomery County","NY",1
"Montgomery County","OH",1
"Montgomery County","PA",1
"Montgomery County","TN",1
"Montgomery County","TX",0
"Montgomery County","VA",1
"Montmorency County","MI",1
"Montour County","PA",1
"Moody County","SD",0
"Moore County","NC",1
"Moore County","TN",1
"Moore County","TX",0
"Mora County","NM",0
"Morehouse Parish","LA",0
"Morgan County","IL",1
"Morgan County","IN",1
"Morgan County","KY",1
"Morgan County","OH",1
"Morgan County","TN",1
"Morgan County","UT",0
"Morgan County","WV",1
"Morrill County","NE",0
"Morris County","KS",0
"Morris County","NJ",1
"Morris County","TX",0
"Morrison County","MN",0
"Morrow County","OH",1
"Morrow County","OR",0
"Morton County","KS",0
"Morton County","ND",0
"Motley County","TX",0
"Moultrie County","IL",1
"Mountrail County","ND",0
"Mower County","MN",0
"Muhlenberg County","KY",1
"Multnomah County","OR",0
"Murray County","MN",0
"Murray County","OK",0
"Muskegon County","MI",1
"Muskingum County","OH",1
"Muskogee County","OK",0
"Musselshell County","MT",0
"Nacogdoches County","TX",0
"Nance County","NE",0
"Nantucket County","MA",1
"Nash County","NC",1
"Nassau County","FL",0
"Nassau County","NY",1
"Natchitoches Parish","LA",0
"Natrona County","WY",0
"Navarro County","TX",0
"Nelson County","KY",1
"Nelson County","ND",0
"Nelson County","VA",1
"Nemaha County","KS",0
"Nemaha County","NE",0
"Neosho County","KS",0
"Ness County","KS",0
"New Castle County","DE",1
"New Hanover County","NC",1
"New Kent County","VA",1
"New York County","NY",1
"Newaygo County","MI",1
"Newberry County","SC",1
"Newport County","RI",1
"Newport News city","VA",1
"Newton County","IN",1
"Newton County","TX",0
"Nez Perce County","ID",0
"Niagara County","NY",1
"Nicholas County","KY",1
"Nicholas County","WV",1
"Nicollet County","MN",0
"Niobrara County","WY",0
"Noble County","IN",1
"Noble County","OH",1
"Noble County","OK",0
"Nobles County","MN",0
"Nolan County","TX",0
"Norfolk County","MA",1
"Norfolk city","VA",1
"Norman County","MN",0
"Northampton County","NC",1
"Northampton County","PA",1
"Northampton County","VA",1
"Northumberland County","PA",1
"Northumberland County","VA",1
"Norton County","KS",0
"Norton city","VA",1
"Nottoway County","VA",1
"Nowata County","OK",0
"Nuckolls County","NE",0
"Nueces County","TX",0
"Nye County","NV",0
"Oakland County","MI",1
"Obion County","TN",1
"Ocean County","NJ",1
"Oceana County","MI",1
"Ochiltree County","TX",0
"Oconee County","SC",1
"Ogemaw County","MI",1
"Ogle County","IL",1
"Ohio County","IN",1
"Ohio County","KY",1
"Ohio County","WV",1
"Okaloosa County","FL",0
"Okanogan County","WA",0
"Okeechobee County","FL",0
"Okfuskee County","OK",0
"Oklahoma County","OK",0
"Okmulgee County","OK",0
"Oldham County","KY",1
"Oldham County","TX",0
"Oliver County","ND",0
"Olmsted County","MN",0
"Oneida County","ID",0
